PartNumber,Manufacturer,ProductStatus,Switch Circuit,Multiplexer/Demultiplexer Circuit,On-State Resistance (Max),Package,AdditionalKeyinformation_Interface,Quantity,DatasheetUrl,PhotoUrl,Description
MAX319CSA,Analog Devices Inc.,Obsolete,SPDT,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/192/175%7E21-0041%7ESA%7E8.JPG,IC SWITCH SPDT X 1 35OHM 8SOIC
MAX323CPA,Analog Devices Inc.,Obsolete,SPST - NO,1:1,60Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX323-MAX325.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/8-DIP.jpg,IC SWITCH SPST-NO X 2 60OHM 8DIP
MAX323CSA,Analog Devices Inc.,Obsolete,SPST - NO,1:1,60Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX323-MAX325.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/192/175%7E21-0041%7ESA%7E8.JPG,IC SWITCH SPST-NOX2 60OHM 8SOIC
MAX326CPE,Analog Devices Inc.,Obsolete,SPST - NC,1:1,3.5kOhm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX326-MAX327.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SW SPST-NCX4 3.5KOHM 16DIP
MAX335CNG,Analog Devices Inc.,Obsolete,SPST - NO,1:1,150Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX335.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1086/175-24-DIP.jpg,IC SWITCH SPST-NOX8 150OHM 24DIP
MAX335CWG,Analog Devices Inc.,Obsolete,SPST - NO,1:1,150Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX335.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1132/406-175-24-SOIC.jpg,IC SW SPST-NOX8 150OHM 24SOIC
MAX351CPE,Analog Devices Inc.,Obsolete,SPST - NC,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX351-MAX353.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NCX4 35OHM 16DIP
MAX351CSE,Analog Devices Inc.,Obsolete,SPST - NC,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX351-MAX353.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NCX4 35OHM 16SOIC
MAX352CPE,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX351-MAX353.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NOX4 35OHM 16DIP
MAX352CSE,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX351-MAX353.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NOX4 35OHM 16SOIC
